GEOID101,GEOID102,st_geometr
4200343408,4200380040,ST_MultiLineString
4200345900,4200360272,ST_MultiLineString
4200345900,4200366264,ST_MultiLineString
4200345900,4200369584,ST_LineString
4200346072,4200355016,ST_MultiLineString
4200346072,4212546072,ST_MultiLineString
4200346072,4212565376,ST_LineString
4200346072,4200372160,ST_MultiLineString
4200346072,4212511800,ST_MultiLineString
4200346256,4200355488,ST_MultiLineString
4200346256,4200362320,ST_MultiLineString
4200346256,4200380040,ST_MultiLineString
4200346256,4200383512,ST_MultiLineString
4200346256,4200384704,ST_MultiLineString
4200346264,4200361000,ST_MultiLineString
4200346264,4200374648,ST_MultiLineString
4200347696,4200360272,ST_MultiLineString
4200347696,4200722264,ST_MultiLineString
4200347696,4200754072,ST_MultiLineString
4200347696,4201916920,ST_MultiLineString
4200349920,4200361000,ST_MultiLineString
4200349920,4200364240,ST_MultiLineString
4200349920,4200369584,ST_MultiLineString
4200350528,4200359032,ST_MultiLineString
4200350528,4200360712,ST_MultiLineString
4200350528,4200361536,ST_MultiLineString
4200350528,4200377912,ST_MultiLineString
4200350528,4200385184,ST_MultiLineString
4200350528,4200377272,ST_MultiLineString
4200350528,4200385496,ST_MultiLineString
4200350528,4212977272,ST_MultiLineString
4200350528,4212952432,ST_MultiLineString
4200350528,4200355488,ST_MultiLineString
4200350528,4212958880,ST_MultiLineString
4200350784,4200355016,ST_MultiLineString
4200350784,4200365352,ST_MultiLineString
4200350784,4200369376,ST_MultiLineString
4200350784,4200735640,ST_MultiLineString
4200351696,4200361000,ST_MultiLineString
4200351696,4200368388,ST_MultiLineString
4200351696,4200379274,ST_MultiLineString
4200351744,4200361000,ST_MultiLineString
4200352320,4200361000,ST_MultiLineString
4200352320,4200363408,ST_MultiLineString
4200352320,4200375816,ST_MultiLineString
4200352320,4200383200,ST_MultiLineString
4200352320,4200384440,ST_MultiLineString
4200352320,4200383512,ST_MultiLineString
4200353136,4200365352,ST_MultiLineString
4200353136,4200374648,ST_MultiLineString
4200354816,4200363408,ST_MultiLineString
4200354816,4200375816,ST_MultiLineString
4200354816,4200385184,ST_MultiLineString
4200354816,4200355488,ST_MultiLineString
4200354816,4200383512,ST_MultiLineString
4200355016,4200365352,ST_MultiLineString
4200355016,4200355840,ST_MultiLineString
4200355016,4212565376,ST_MultiLineString
4200355016,4200372160,ST_MultiLineString
4200355488,4200377912,ST_MultiLineString
4200355488,4200377272,ST_MultiLineString
4200355488,4200380600,ST_MultiLineString
4200355488,4200385496,ST_GeometryCollection
4200355488,4200384704,ST_MultiLineString
4200355488,4212955128,ST_MultiLineString
4200355840,4200372160,ST_MultiLineString
4200356088,4200356384,ST_MultiLineString
4200356088,4200359032,ST_MultiLineString
4200356088,4200361536,ST_MultiLineString
4200356088,4200380032,ST_MultiLineString
4200356384,4200359032,ST_MultiLineString
4200356384,4200361000,ST_MultiLineString
4200356384,4200369584,ST_MultiLineString
4200356384,4200369776,ST_MultiLineString
4200356384,4200380032,ST_MultiLineString
4200356392,4200366264,ST_MultiLineString
4200356392,4200369416,ST_MultiLineString
4200329732,4200333312,ST_MultiLineString
4200329732,4200350784,ST_MultiLineString
4200329732,4200369376,ST_MultiLineString
4200359032,4200361000,ST_MultiLineString
4200359032,4200361536,ST_MultiLineString
4200359032,4200380032,ST_MultiLineString
4200359032,4200385184,ST_MultiLineString
4200359032,4200385188,ST_MultiLineString
4200359152,4200365352,ST_MultiLineString
4200360272,4200364528,ST_MultiLineString
4200360272,4201979504,ST_MultiLineString
4200360272,4201969309,ST_LineString
4200360272,4201916920,ST_MultiLineString
4200360272,4201900300,ST_MultiLineString
4200360712,,
4200361000,4200364240,ST_MultiLineString
4200361000,4200365352,ST_MultiLineString
4200361000,4200366264,ST_MultiLineString
4200361000,4200366320,ST_MultiLineString
4200361000,4200368388,ST_GeometryCollection
4200361000,4200369584,ST_MultiLineString
4200361000,4200369776,ST_MultiLineString
4200361000,4200374648,ST_MultiLineString
4200361000,4200375816,ST_MultiLineString
4200361000,4200385188,ST_MultiLineString
4200361000,4200383200,ST_MultiLineString
4200361000,4200383512,ST_MultiLineString
4200361000,4200384512,ST_MultiLineString
4200361328,4200372400,ST_LineString
4200361328,4200383512,ST_MultiLineString
4200361536,4200372960,ST_MultiLineString
4200361536,4200372968,ST_MultiLineString
4200361536,4212978768,ST_MultiLineString
4200361536,4212944864,ST_MultiLineString
4200361536,4212952432,ST_MultiLineString
4200362320,,
4200363408,4200375816,ST_MultiLineString
4200363408,4200384440,ST_MultiLineString
4200364240,4200366264,ST_MultiLineString
4200364240,4200369584,ST_MultiLineString
4202100308,4211156352,ST_MultiLineString
4202100308,4202115552,ST_MultiLineString
4202100308,4202117496,ST_MultiLineString
4202100308,4202164544,ST_MultiLineString
4202100308,4202172168,ST_MultiLineString
4202100308,4202175144,ST_MultiLineString
4202100308,4211157552,ST_MultiLineString
4202100868,4202103296,ST_LineString
4202100868,4202110880,ST_MultiLineString
4202100868,4202113384,ST_MultiLineString
4202100868,4202114056,ST_MultiLineString
4202100868,4202117144,ST_MultiLineString
4202100868,4202120952,ST_MultiLineString
4202100868,4202128336,ST_MultiLineString
4202100868,4202144704,ST_MultiLineString
4202100868,4202152360,ST_MultiLineString
4200364528,4200382800,ST_MultiLineString
4200364528,4201979504,ST_MultiLineString
4200364528,4201949056,ST_MultiLineString
4200364528,4201900300,ST_MultiLineString
4200365352,4200366320,ST_MultiLineString
4200365352,4200376560,ST_MultiLineString
4200366264,4200369584,ST_MultiLineString
4200366264,4200384144,ST_MultiLineString
4200366320,4200368388,ST_MultiLineString
4200366320,4200376560,ST_MultiLineString
4200368388,4200379274,ST_MultiLineString
4200369376,4200369400,ST_MultiLineString
4200369400,4200369416,ST_MultiLineString
4200369416,,
4200369584,4200369776,ST_MultiLineString
4200369776,,
4200372160,4200379274,ST_MultiLineString
4200372160,4212511800,ST_MultiLineString
4200372400,4212578432,ST_MultiLineString
4200372568,4200384704,ST_MultiLineString
4200372568,4212955128,ST_MultiLineString
4202103296,4202114056,ST_MultiLineString
4202103296,4202118432,ST_MultiLineString
4202103296,4202128336,ST_MultiLineString
4202104272,4206330816,ST_MultiLineString
4202104272,4206360320,ST_MultiLineString
4202104272,4202106736,ST_MultiLineString
4202104272,4202110880,ST_MultiLineString
4202104272,4202155000,ST_MultiLineString
4202104272,4202175520,ST_MultiLineString
4202104272,4202182688,ST_MultiLineString
4202106736,4206360320,ST_MultiLineString
4202106736,4206310104,ST_MultiLineString
4202106736,4202110880,ST_MultiLineString
4202106736,4202137352,ST_MultiLineString
4202106736,4202152616,ST_MultiLineString
4202106736,4202180288,ST_MultiLineString
4202109400,4202145160,ST_MultiLineString
4202109400,4202183584,ST_MultiLineString
4202110880,4202117496,ST_MultiLineString
4202110880,4202120952,ST_MultiLineString
4202110880,4202122144,ST_MultiLineString
4202110880,4202137352,ST_MultiLineString
4202110880,4202152360,ST_MultiLineString
4202110880,4202175144,ST_MultiLineString
4202110880,4202182688,ST_MultiLineString
4202111456,4202120952,ST_MultiLineString
4202111456,4202182688,ST_MultiLineString
4202111616,4202162056,ST_MultiLineString
4202111616,4202181200,ST_MultiLineString
4202113192,4203304888,ST_MultiLineString
4202113192,4203313200,ST_MultiLineString
4202113192,4203383736,ST_MultiLineString
4202113192,4202114056,ST_MultiLineString
4202113192,4202122808,ST_MultiLineString
4202113192,4202158432,ST_MultiLineString
4202113192,4202184448,ST_MultiLineString
4202113384,4202114056,ST_MultiLineString
4202114056,4202118432,ST_MultiLineString
4202114056,4202120952,ST_MultiLineString
4202114056,4202122808,ST_MultiLineString
4202114056,4202158432,ST_MultiLineString
4202114056,4202184448,ST_MultiLineString
4202115552,4202117976,ST_MultiLineString
4202115552,4202121896,ST_MultiLineString
4202115552,4202127360,ST_MultiLineString
4202115552,4202138288,ST_MultiLineString
